time,l_shoulder,r_shoulder,l_hip,r_hip
132.84,60.8840147818,64.753614143,-33.6457264104,30.6079303488
132.86,55.7248085957,70.093412219,-32.9871394275,30.8213470253
132.88,51.941531973,73.2178681923,-32.6534035816,31.264500356
132.9,44.5690201411,79.3906066231,-27.2393657559,24.7212956807
132.92,41.61020081,76.1377366798,-8.0834783857,5.5962680231
132.94,36.0379106104,77.7131012459,-1.6638501046,-4.4451655056
132.96,36.0037073151,77.8448566852,-8.7735686337,-16.992821289
132.98,33.1745278398,77.0702057783,-3.4233565338,-33.1426619257
133,32.7105188153,73.6001145077,-0.6599844604,-43.6218578607
133.02,32.0975971963,70.9377651105,4.8217518677,-48.2523842722
133.04,31.842270952,68.7908530242,7.9971394902,-48.5516316
133.06,31.875619283,66.6863461567,11.1400352656,-46.3252484394
133.08,31.0007057489,65.1687204633,14.693079997,-45.7103878233
133.1,33.0978472119,61.8161448784,18.1720208161,-43.4067588772
133.12,36.8595931072,57.8445711969,21.9018142705,-42.5447131985
133.14,39.4660146282,54.9462789676,25.0143960976,-40.16196226
133.16,42.6900542753,51.6850384303,27.7102212403,-36.8096960299
133.18,46.3323487111,48.7107633495,29.5988990062,-35.7045732658
133.2,50.5286765477,46.9143725173,31.7098197651,-31.3046743364
133.22,55.8243811482,44.4098542746,31.5430781032,-26.0296331579
133.24,66.4771882507,35.6156637125,33.4339690045,-21.1545297167
133.26,70.7447802332,33.1230215661,34.2136530323,-15.8618928752
133.28,74.8850480455,31.4955251906,32.2912757645,-13.6788448937
133.3,82.0122507343,25.7421154089,9.9807811179,-6.7991165461
133.32,82.1573843529,26.1626084593,-23.2341769891,-3.7969622104
133.34,81.3934553667,28.0033511581,-40.5985520715,-0.4778146269
133.36,80.5712738615,30.7010826715,-49.2325538551,5.5112672175
133.38,78.471918244,34.8372699279,-51.3899627341,10.1721725135
133.4,75.9834436471,38.3189165545,-48.5761593731,12.366346121
133.42,75.8249243374,39.3600307461,-47.905128694,15.2841611463
133.44,73.3463875377,42.8193732116,-45.4674185829,17.5423464575
133.46,71.8955332829,46.6731654292,-44.0914922032,21.2483597819
133.48,69.2153642563,50.4144716095,-38.7435885957,21.3388328651
133.5,65.9777093471,55.4350052324,-36.1415564952,23.9342652557
133.52,61.872163845,61.1658508026,-37.0396347828,28.0974221649
133.54,57.9874598452,65.7827767027,-32.5542622456,30.8439108557
133.56,54.6848810573,69.6463466062,-27.3269820026,32.003074931
133.58,48.3997879106,76.2185522476,-22.330007502,33.6139082506
133.6,43.8990334529,79.7318673314,-19.8900346711,35.6454083105
133.62,42.0147665452,80.6842214527,-17.5483126176,32.6980659708
133.64,38.1313715795,80.4397809215,-11.2609806533,13.7933445951
133.66,30.4371246119,83.7861916762,-10.8237408881,-21.7749700809
133.68,27.9508413251,83.1863528913,-6.5744159344,-41.6492275229
133.7,29.347107092,76.9962922545,-0.5043403245,-47.920583817
133.72,28.9830702334,72.9792959327,5.5553859665,-50.1187066083
133.74,28.8133562259,69.572806518,11.0093038286,-49.5051319796
133.76,30.3432456413,65.2305858628,15.7681723677,-47.7410569721
133.78,33.3680661548,60.764138218,18.844337911,-45.0155584755
133.8,37.0674815365,57.6882786881,19.3297535523,-41.7835285323
133.82,39.6429440746,54.5425436164,22.6889548453,-41.6871665347
133.84,39.8951845563,53.4280704964,26.2409017355,-40.8353199072
133.86,40.9874080988,52.2065754244,28.3179884559,-38.3727764086
133.88,44.3197674858,50.0201886684,29.0962629372,-35.7066312954
133.9,47.8467286444,47.9904443524,30.6277178111,-34.6661967337
133.92,51.0188407748,47.1913818039,32.874000268,-30.3562803127
133.94,59.500542763,40.090355284,33.5730840197,-26.5053223468
133.96,69.277722804,32.4232764773,39.1069609889,-20.8665786453
133.98,72.394552186,31.5961273297,38.2071162807,-17.2598521656
134,77.8389238659,29.6723457927,15.7768501269,-10.1251573532
134.02,80.7912035616,27.9269083744,-11.6809063578,-5.0437175177
134.04,82.5667776192,25.6368166002,-33.9950776154,-1.3709868535
134.06,83.1762881429,25.3047743644,-49.0237382469,3.7517493168
134.08,83.9919270207,24.474591773,-58.389312603,7.0787584734
134.1,82.829219128,25.6526917558,-61.9939953553,9.0451798025
134.12,81.7411807476,28.4527549343,-58.919843594,13.1615528364
134.14,81.1261209448,31.853306558,-55.508457616,16.1038181133
134.16,79.6768129644,34.7524900498,-53.4431776279,18.2332220176
134.18,77.1433263078,39.7681300486,-53.5257710412,21.570285664
134.2,73.0346469535,46.2690362534,-48.2340998536,24.2173219121
134.22,68.3073169932,52.2756739536,-42.6044465177,26.0729822739
134.24,62.4503244791,59.1044248832,-34.044765624,28.322610472
134.26,56.0094926024,66.7318854197,-28.5312231192,31.794847
134.28,50.0054225416,72.8576648285,-25.2836019654,33.7426723538
134.3,44.6302780599,77.9422643148,-20.2729463692,29.2783959938
134.32,41.8728054635,77.5469677483,-15.6476854215,14.7554437083
134.34,36.8352595046,77.6858949949,-3.328781798,-4.5892321645
134.36,35.6839253488,77.8777000838,-8.4966226055,-21.9005131502
134.38,32.4706590193,77.9529061948,-3.5512902165,-37.7613269407
134.4,32.351156722,75.5461132653,-0.7244590611,-44.2064936685
134.42,32.8783165099,70.2841414716,4.9044827761,-46.4511842128
134.44,32.1877625273,67.5928186658,8.1024944797,-47.7049554284
134.46,30.3031363067,66.3414384464,13.9555261262,-48.8139313372
134.48,31.2324326064,63.7880928206,18.8164381584,-47.5166768375
134.5,35.1672125802,59.0776683113,20.3806631944,-44.7823559053
134.52,37.8971388124,55.4076299345,26.180637928,-43.2329703065
134.54,41.0138016146,52.0840417551,29.1287117948,-40.2665812132
134.56,43.5786543253,49.6647376043,30.4537994285,-38.8565873508
134.58,47.1447329605,47.7982531531,32.6423915261,-36.4325165913
134.6,51.3433251146,46.6407446662,33.3505886693,-31.2522439274
134.62,57.1455827728,42.7744627816,33.1919725147,-28.103742059
