time,l_shoulder,r_shoulder,l_hip,r_hip
298.96,38.0024979247,58.1420553564,-41.6447127105,-42.8499235708
298.98,33.6816120929,59.1641937338,-40.3423053015,-48.2449314443
299,27.5452174272,56.3366514581,-36.4402659114,-47.9653061373
299.02,22.8692165139,56.1474100199,-35.5557895567,-50.8211090929
299.04,17.3781914779,54.6660200908,-32.2596235988,-54.139530311
299.06,11.7869995352,51.8118613165,-28.0543352279,-53.8186310454
299.08,11.1195133387,51.7072959715,-28.3342258579,-52.8209083079
299.1,13.3213431615,54.4700456117,-29.9254984339,-56.0843855922
299.12,11.7231451317,51.7741816677,-27.1844399956,-53.5297612156
299.14,8.9551003668,48.164517325,-23.5353116075,-48.940259337
299.16,10.8348676423,48.3637228173,-22.4289207829,-47.0894094145
299.18,11.835661975,46.4318529556,-20.5638529264,-41.8600688714
299.2,10.0253644966,43.4492381546,-17.2518150696,-37.0207562352
299.22,11.7036730665,42.2335699996,-15.3630336075,-33.6685023087
299.24,13.5985886035,40.7848453441,-14.0300821936,-30.6584863416
299.26,12.774369165,37.3240715044,-11.0266999966,-24.5478668409
299.28,13.9351335411,35.2837736004,-8.4100142944,-22.1280401695
299.3,14.3461241948,31.5783514592,-5.7989716934,-18.4213419407
299.32,13.5812433751,27.4639317,-3.4517768991,-13.0535577831
299.34,16.3255570766,25.6132620657,-2.6240473008,-9.8007732316
299.36,15.0643853869,21.4777958518,0.4818969157,-5.0258441856
299.38,13.8092667281,18.2026616355,2.5354432016,0.0593788609
299.4,15.3842523925,18.1774943252,2.4256643286,0.7193982176
299.42,15.9711873215,16.0606739584,3.0015590223,3.6604188425
299.44,14.1553097572,12.6578627304,4.9671822541,6.3199022693
299.46,12.338955813,9.0300840583,8.6654796223,8.973470808
299.48,11.8338489339,5.8870002779,10.4173143831,12.3470335292
299.5,10.3044733158,2.7933502022,11.8509172519,15.7505500696
299.52,8.4747724105,-0.319516167,15.4646055486,18.0419075782
299.54,7.0656437195,-1.5261684825,17.0579540787,19.9852462331
299.56,5.5602741076,-2.5737120408,17.486991518,21.9508212863
299.58,7.7310645722,-1.1193837239,16.1332552374,20.7371813863
299.6,10.3190301754,0.5875138111,13.3734931971,20.3828332545
299.62,9.3764250381,2.738779788,12.0250121694,18.3930981287
299.64,8.6679284129,3.4081125134,13.181051145,17.2398840206
299.66,9.6116490641,4.5444686217,12.283227013,16.7344338239
299.68,9.0032125868,6.0698955126,11.1491288902,15.7756889816
299.7,10.7217075774,7.542979686,9.87013492,13.5334624911
299.72,14.6326896184,10.0635347073,6.2286355406,12.542810562
299.74,14.0195009249,11.5911527965,4.9612405439,11.3764778435
299.76,15.6868134639,14.12961142,3.4999996324,8.497706386
299.78,17.6864185362,16.567354997,1.1710835296,6.3978061772
299.8,19.7651162325,19.9124857674,-2.696216335,2.8217679552
299.82,25.7667345862,25.5822048014,-8.4951695106,-2.1847721654
299.84,32.4928260016,33.6278285281,-16.901660404,-8.4549484245
299.86,35.74628839,41.2394190932,-24.0471615078,-16.2717369292
299.88,38.6277743024,47.9543719137,-29.2406511741,-25.3703276218
299.9,39.8104188224,51.7214568891,-32.9507580737,-29.7571426389
299.92,39.0499694372,53.9194884019,-35.9170846022,-33.6423828202
299.94,37.9748219564,55.098849953,-35.9423279575,-37.9278756327
299.96,34.287691883,52.6607607197,-33.3378579327,-37.6803140267
299.98,29.7345671517,51.849893037,-31.8883734735,-38.7411627063
300,29.3284584699,55.0578109226,-33.1731766374,-44.3876599838
300.02,28.1607950294,56.8879738728,-34.6025447514,-48.3944344046
300.04,23.7704185194,56.2373946121,-33.3585771407,-50.3592435388
300.06,21.4961046651,54.9456313493,-31.0857601595,-51.3197655982
300.08,20.1319274841,54.7286547616,-30.2806589196,-51.8238350887
300.1,15.2633938233,53.5337660718,-27.7531614879,-52.2294674311
300.12,12.7525103206,52.8164787411,-24.7477103312,-53.2736641237
300.14,10.0324897581,49.3504778213,-20.5200463531,-49.8949445703
300.16,4.8374068373,42.7099555417,-13.2176448545,-41.9127033413
300.18,3.8964520376,39.3032169277,-8.1327958179,-36.5242608426
300.2,2.5211188009,34.0095949131,-2.7915584133,-29.345704664
300.22,0.1640574203,28.0434647548,2.4123625949,-21.0064147027
